iteration,loss,epoch
1,103.26420593261719,0
1,103.20037841796875,0
1,103.14863586425781,0
1,103.09423065185547,0
1,103.04288482666016,0
2,103.74040222167969,0
2,103.66766357421875,0
2,103.62646484375,0
2,103.55827331542969,0
2,103.53204345703125,0
3,102.86251831054688,0
3,102.833984375,0
3,102.76222229003906,0
3,102.71339416503906,0
3,102.66524505615234,0
4,103.43120574951172,0
4,103.4029312133789,0
4,103.34379577636719,0
4,103.32261657714844,0
4,103.2103042602539,0
5,102.33493041992188,0
5,102.26299285888672,0
5,102.20814514160156,0
5,102.16673278808594,0
5,102.1537857055664,0
6,102.38258361816406,0
6,102.3397216796875,0
6,102.27384948730469,0
6,102.21096801757812,0
6,102.18995666503906,0
7,101.96492004394531,0
7,101.86396789550781,0
7,101.77320098876953,0
7,101.81104278564453,0
7,101.70158386230469,0
8,101.9951171875,0
8,101.93018341064453,0
8,101.822998046875,0
8,101.77226257324219,0
8,101.67467498779297,0
9,101.24264526367188,0
9,101.13780212402344,0
9,101.12981414794922,0
9,101.03419494628906,0
9,100.95449829101562,0
10,100.998779296875,0
10,100.80734252929688,0
10,100.78955078125,0
10,100.62130737304688,0
10,100.61979675292969,0
11,100.8667221069336,0
11,100.75279235839844,0
11,100.7214584350586,0
11,100.66548156738281,0
11,100.56809997558594,0
12,100.61705017089844,0
12,100.42494201660156,0
12,100.33689880371094,0
12,100.3455810546875,0
12,100.3038558959961,0
13,100.53485107421875,0
13,100.40733337402344,0
13,100.48089599609375,0
13,100.41786193847656,0
13,100.26176452636719,0
14,100.21040344238281,0
14,100.06007385253906,0
14,100.06351470947266,0
14,99.92149353027344,0
14,100.02127075195312,0
15,99.73094177246094,0
15,99.56272888183594,0
15,99.50006103515625,0
15,99.3498306274414,0
15,99.30532836914062,0
16,98.28235626220703,0
16,98.15034484863281,0
16,98.13600158691406,0
16,98.037109375,0
16,97.82954406738281,0
17,98.86605834960938,0
17,98.70527648925781,0
17,98.70457458496094,0
17,98.64456176757812,0
17,98.46666717529297,0
18,98.17695617675781,0
18,98.10223388671875,0
18,98.08847045898438,0
18,97.98798370361328,0
18,97.865234375,0
19,97.9826431274414,0
19,97.78005981445312,0
19,97.85997772216797,0
19,97.74457550048828,0
19,97.7741470336914,0
20,97.90016174316406,0
20,97.6661376953125,0
20,97.66590118408203,0
20,97.67884826660156,0
20,97.53115844726562,0
21,98.7624282836914,0
21,98.82564544677734,0
21,98.71418762207031,0
21,98.51942443847656,0
21,98.41996765136719,0
22,97.6684341430664,0
22,97.84164428710938,0
22,97.72126007080078,0
22,97.43753051757812,0
22,97.43954467773438,0
23,96.56393432617188,0
23,96.37031555175781,0
23,96.36116027832031,0
23,96.41898345947266,0
23,96.09502410888672,0
24,95.92485809326172,0
24,95.73678588867188,0
24,95.63169860839844,0
24,95.38412475585938,0
24,95.44195556640625,0
25,95.5387191772461,0
25,95.48004913330078,0
25,95.48799133300781,0
25,95.26174926757812,0
25,95.23834228515625,0
26,95.44340515136719,0
26,95.297607421875,0
26,95.08360290527344,0
26,94.99183654785156,0
26,94.97323608398438,0
27,94.52316284179688,0
27,94.47731018066406,0
27,94.28868103027344,0
