streamline_index,hausdorff_distance
0,24.312400817871094
1,24.555213928222656
2,34.46649932861328
3,23.87295150756836
4,25.782432556152344
5,22.204334259033203
6,25.612369537353516
7,31.166912078857422
8,20.794639587402344
9,30.601821899414062
10,32.18445587158203
11,24.025554656982422
12,27.718299865722656
13,23.30617904663086
14,18.673255920410156
15,24.579696655273438
16,23.39607048034668
17,24.92888641357422
18,26.977426528930664
19,34.29374694824219
20,33.70840072631836
21,22.96277618408203
22,31.070228576660156
23,41.56392288208008
24,31.791946411132812
25,22.487354278564453
26,30.08061981201172
27,22.82441520690918
28,30.84589385986328
29,27.932662963867188
30,32.740360260009766
31,29.533714294433594
32,29.993743896484375
33,23.677749633789062
34,25.646270751953125
35,23.51382064819336
36,20.595420837402344
37,22.767253875732422
38,28.246288299560547
39,39.67192459106445
40,29.947349548339844
41,21.844558715820312
42,30.887439727783203
43,28.27297592163086
44,24.568683624267578
45,33.01091766357422
46,33.64438247680664
47,26.029254913330078
48,23.75902557373047
49,28.22473907470703
50,27.45555877685547
51,38.88575744628906
52,22.109188079833984
53,26.711811065673828
54,33.1893310546875
55,32.57197570800781
56,20.302040100097656
57,27.2797908782959
58,32.87387466430664
59,23.771984100341797
60,21.171512603759766
61,23.66958999633789
62,25.765846252441406
63,35.407447814941406
64,34.16864013671875
65,22.896020889282227
66,25.120315551757812
67,27.44820213317871
68,24.398143768310547
69,25.38299560546875
70,34.57710266113281
71,38.84557342529297
72,36.60357666015625
73,23.668506622314453
74,41.379150390625
75,24.116256713867188
76,25.271804809570312
77,41.07748031616211
78,43.40793991088867
79,36.24785614013672
80,25.59011459350586
81,26.56501007080078
82,24.979595184326172
83,27.525142669677734
84,25.993688583374023
85,31.238454818725586
86,24.28069305419922
87,30.454330444335938
88,24.089733123779297
89,27.407440185546875
90,27.164745330810547
91,41.52637481689453
92,24.701000213623047
93,21.507848739624023
94,32.11359786987305
95,30.89014434814453
96,22.79083251953125
97,21.002195358276367
98,34.18812561035156
99,25.141361236572266
100,26.322669982910156
101,25.3507080078125
102,33.24603271484375
103,25.929134368896484
104,28.719619750976562
105,20.380678176879883
106,24.81019401550293
107,32.97768783569336
108,31.770761489868164
109,25.556472778320312
110,23.98241424560547
111,26.494579315185547
112,35.39706802368164
113,39.82036590576172
114,23.176788330078125
115,21.77987289428711
116,33.72365951538086
117,25.319177627563477
118,29.49094581604004
119,30.98249053955078
120,30.42998504638672
121,24.18643569946289
122,23.42192840576172
123,28.34910774230957
124,28.72301483154297
125,26.921600341796875
